version,download,release
d0.1.1,https://drive.google.com/uc?export=download&id=12CrXFI84-aM7ill7O6Qkqm6rFXprMPJe,17.10.2020
d0.2.0,https://github.com/MultiMachineBuilder/MultiMachineBuilder/releases/download/d0.2.0/0.2.zip,05.11.2020
d0.3.0,https://github.com/MultiMachineBuilder/MultiMachineBuilder/releases/download/d0.3.0/0.3.zip,05.11.2020
d0.4.0-pre,https://github.com/MultiMachineBuilder/MultiMachineBuilder/releases/download/d0.4.0_/Machine.Builder.0.4-pre.jar,26.01.2021
d0.4.0-pre2,https://github.com/MultiMachineBuilder/MultiMachineBuilder/releases/download/d0.4.0_1/Machine.Builder.0.4-pre.jar,15.02.2021
d0.4.0-pre3,https://github.com/MultiMachineBuilder/MultiMachineBuilder/releases/download/d0.4.0_2/0.4-pre3.zip,11.03.2021
d0.4.0-pre4,https://github.com/MultiMachineBuilder/MultiMachineBuilder/releases/download/dev0.4.0_3/0.4-pre4.zip,14.03.2021
d0.4.0,https://github.com/MultiMachineBuilder/MultiMachineBuilder/releases/download/d0.4.0/0.4.zip,19.03.2021
d0.4.1,https://github.com/MultiMachineBuilder/MultiMachineBuilder/releases/download/d0.4.1/0.4.1.zip,21.03.2021
d0.4.2,https://github.com/MultiMachineBuilder/MultiMachineBuilder/releases/download/d0.4.2/0.4.2.zip,26.03.2021
d0.5.0-pre,https://github.com/MultiMachineBuilder/MultiMachineBuilder/releases/download/d0.5.0_/0.5-pre1.zip,16.04.2021
d0.5.0-pre2,https://github.com/MultiMachineBuilder/MultiMachineBuilder/releases/download/d0.5.0_1/0.5-pre2.zip,17.04.2021
d0.5.0-pre3,https://github.com/MultiMachineBuilder/MultiMachineBuilder/releases/download/d0.5.0_2/0.5-pre3.zip,10.05.2021
d0.5.0-pre4,https://github.com/MultiMachineBuilder/MultiMachineBuilder/releases/download/d0.5.0_3/0.5-pre4.zip,24.05.2021
d0.5.0-pre5,https://github.com/MultiMachineBuilder/MultiMachineBuilder/releases/download/d0.5.0_4/0.5-pre5.zip,02.02.2022
